Timestamp,Actual SPL (dB),Rate of Change,"Label (1=problematic,0=not problematic)",Target Value
2025-03-29 05:26:38,31.907387,-0.047195435,0,31.907387
2025-03-29 05:26:38,31.13906,-0.7683277,0,31.13906
2025-03-29 05:26:39,31.14952,0.010461807,0,31.14952
2025-03-29 05:26:39,29.986677,-1.1628437,0,29.986677
2025-03-29 05:26:39,30.54126,0.5545826,0,30.54126
2025-03-29 05:26:39,31.038334,0.49707413,0,31.038334
2025-03-29 05:26:39,31.940891,0.9025574,0,31.940891
2025-03-29 05:26:39,31.694199,-0.24669266,0,31.694199
2025-03-29 05:26:39,31.574791,-0.119407654,0,31.574791
2025-03-29 05:26:39,30.69274,-0.88205147,0,30.69274
2025-03-29 05:26:39,29.232084,-1.4606552,0,29.232084
2025-03-29 05:26:39,29.975685,0.74360085,0,29.975685
2025-03-29 05:26:39,32.61918,2.6434937,0,32.61918
2025-03-29 05:26:39,30.712715,-1.9064636,0,30.712715
2025-03-29 05:26:39,30.953259,0.24054337,0,30.953259
2025-03-29 05:26:39,31.01405,0.060791016,0,31.01405
2025-03-29 05:26:39,31.025787,0.0117378235,0,31.025787
2025-03-29 05:26:39,31.194427,0.16864014,0,31.194427
2025-03-29 05:26:39,32.411156,1.2167282,0,32.411156
2025-03-29 05:26:39,31.90863,-0.5025253,0,31.90863
2025-03-29 05:26:39,31.72804,-0.18058968,0,31.72804
2025-03-29 05:26:39,30.94739,-0.7806511,0,30.94739
2025-03-29 05:26:39,31.23308,0.2856903,0,31.23308
2025-03-29 05:26:39,31.166557,-0.0665226,0,31.166557
2025-03-29 05:26:40,32.248062,1.0815048,0,32.248062
2025-03-29 05:26:40,31.413994,-0.8340683,0,31.413994
2025-03-29 05:26:40,31.2406,-0.17339325,0,31.2406
2025-03-29 05:26:40,32.007908,0.7673073,0,32.007908
2025-03-29 05:26:40,31.424284,-0.5836239,0,31.424284
2025-03-29 05:26:40,31.565243,0.14095879,0,31.565243
2025-03-29 05:26:40,31.880203,0.31496048,0,31.880203
2025-03-29 05:26:40,31.66016,-0.22004318,0,31.66016
2025-03-29 05:26:40,33.255486,1.5953255,0,33.255486
2025-03-29 05:26:40,32.797585,-0.457901,0,32.797585
2025-03-29 05:26:40,31.433968,-1.363617,0,31.433968
2025-03-29 05:26:40,31.870945,0.4369774,0,31.870945
2025-03-29 05:26:40,32.24109,0.3701439,0,32.24109
2025-03-29 05:26:40,32.482567,0.24147797,0,32.482567
2025-03-29 05:26:40,31.746971,-0.7355957,0,31.746971
2025-03-29 05:26:40,31.694286,-0.052684784,0,31.694286
2025-03-29 05:26:40,32.057777,0.36349106,0,32.057777
2025-03-29 05:26:40,30.847279,-1.2104988,0,30.847279
2025-03-29 05:26:40,30.697628,-0.14965057,0,30.697628
2025-03-29 05:26:40,31.217344,0.51971626,0,31.217344
2025-03-29 05:26:40,30.063293,-1.1540508,0,30.063293
2025-03-29 05:26:40,32.094826,2.0315323,0,32.094826
2025-03-29 05:26:41,32.530518,0.43569183,0,32.530518
2025-03-29 05:26:41,30.546879,-1.9836388,0,30.546879
2025-03-29 05:26:41,30.343094,-0.20378494,0,30.343094
2025-03-29 05:26:41,30.751783,0.4086895,0,30.751783
2025-03-29 05:26:41,31.266594,0.51481056,0,31.266594
2025-03-29 05:26:41,31.493494,0.2269001,0,31.493494
2025-03-29 05:26:41,31.32371,-0.16978455,0,31.32371
2025-03-29 05:26:41,31.395245,0.07153511,0,31.395245
2025-03-29 05:26:41,31.472908,0.07766342,0,31.472908
2025-03-29 05:26:41,29.985542,-1.4873657,0,29.985542
2025-03-29 05:26:41,30.13975,0.15420723,0,30.13975
2025-03-29 05:26:41,29.31198,-0.82777023,0,29.31198
2025-03-29 05:26:41,30.96801,1.6560307,0,30.96801
2025-03-29 05:26:41,32.25152,1.2835083,0,32.25152
2025-03-29 05:26:41,31.294,-0.9575176,0,31.294
2025-03-29 05:26:41,31.99506,0.70105934,0,31.99506
2025-03-29 05:26:41,30.264774,-1.7302856,0,30.264774
2025-03-29 05:26:41,29.590572,-0.67420197,0,29.590572
2025-03-29 05:26:41,30.492817,0.90224457,0,30.492817
2025-03-29 05:26:41,31.086119,0.5933018,0,31.086119
2025-03-29 05:26:41,30.184086,-0.90203285,0,30.184086
2025-03-29 05:26:42,31.93256,1.7484741,0,31.93256
2025-03-29 05:26:42,30.48563,-1.4469299,0,30.48563
2025-03-29 05:26:42,29.175016,-1.3106136,0,29.175016
2025-03-29 05:26:42,30.425318,1.2503014,0,30.425318
