timestamp,violation_type
2025-03-29 04:46:32,no_earmuff
2025-03-29 04:46:37,no_earmuff
2025-03-29 04:46:45,no_earmuff
2025-03-29 04:46:46,no_earmuff
2025-03-29 04:46:46,no_earmuff
2025-03-29 04:46:47,no_earmuff
2025-03-29 04:46:47,no_earmuff
2025-03-29 04:46:48,no_earmuff
2025-03-29 04:46:49,no_earmuff
2025-03-29 04:46:49,no_earmuff
2025-03-29 04:46:50,no_earmuff
2025-03-29 04:46:50,no_earmuff
2025-03-29 04:46:51,no_earmuff
2025-03-29 04:46:51,no_earmuff
2025-03-29 04:46:53,no_earmuff
2025-03-29 04:46:53,no_earmuff
2025-03-29 04:46:54,no_earmuff
2025-03-29 04:48:03,no_earmuff
2025-03-29 04:48:04,no_earmuff
2025-03-29 04:48:04,no_earmuff
2025-03-29 04:48:05,no_earmuff
2025-03-29 04:48:05,no_earmuff
2025-03-29 04:48:06,no_earmuff
2025-03-29 04:48:06,no_earmuff
2025-03-29 04:48:07,no_earmuff
2025-03-29 04:48:08,no_earmuff
2025-03-29 04:48:08,no_earmuff
2025-03-29 04:48:08,no_earmuff
2025-03-29 04:48:09,no_earmuff
2025-03-29 04:48:10,no_earmuff
2025-03-29 04:48:10,no_earmuff
2025-03-29 04:48:12,no_earmuff
2025-03-29 04:48:12,no_earmuff
2025-03-29 04:48:13,no_earmuff
2025-03-29 04:48:13,no_earmuff
2025-03-29 04:48:14,no_earmuff
2025-03-29 04:48:14,no_earmuff
2025-03-29 04:48:15,no_earmuff
2025-03-29 04:48:15,no_earmuff
2025-03-29 04:48:16,no_earmuff
2025-03-29 04:48:17,no_earmuff
2025-03-29 04:48:17,no_earmuff
2025-03-29 04:48:19,no_earmuff
2025-03-29 04:48:19,no_earmuff
2025-03-29 04:48:20,no_earmuff
2025-03-29 04:48:20,no_earmuff
2025-03-29 04:48:21,no_earmuff
2025-03-29 04:48:21,no_earmuff
2025-03-29 04:48:22,no_earmuff
2025-03-29 04:48:22,no_earmuff
2025-03-29 04:48:23,no_earmuff
2025-03-29 04:48:38,no_earmuff
2025-03-29 04:48:39,no_earmuff
2025-03-29 04:48:40,no_earmuff
2025-03-29 04:48:41,no_earmuff
2025-03-29 04:48:42,no_earmuff
2025-03-29 04:48:42,no_earmuff
2025-03-29 04:48:44,no_earmuff
2025-03-29 04:48:45,no_earmuff
2025-03-29 04:48:46,no_earmuff
2025-03-29 04:50:47,no_earmuff
2025-03-29 04:50:51,no_earmuff
2025-03-29 05:00:25,no_earmuff
2025-03-29 05:04:00,no_earmuff
2025-03-29 05:07:54,no_earmuff
2025-03-29 05:07:55,no_earmuff
2025-03-29 05:07:57,no_earmuff
2025-03-29 05:13:42,no_earmuff
2025-03-29 05:14:52,no_earmuff
2025-03-29 05:15:22,no_earmuff
2025-03-29 05:15:47,no_earmuff
2025-03-29 05:16:23,no_earmuff
2025-03-29 05:18:41,no_earmuff
2025-03-29 05:22:35,no_earmuff
2025-03-29 05:22:37,no_earmuff
2025-03-29 05:22:39,no_earmuff
2025-03-29 05:22:40,no_earmuff
2025-03-29 05:22:42,no_earmuff
2025-03-29 05:22:49,no_earmuff
2025-03-29 05:22:51,no_earmuff
2025-03-29 05:22:52,no_earmuff
2025-03-29 05:22:54,no_earmuff
2025-03-29 05:22:56,no_earmuff
2025-03-29 05:26:06,no_earmuff
2025-03-29 05:26:08,no_earmuff
2025-03-29 05:26:09,no_earmuff
2025-03-29 05:26:11,no_earmuff
2025-03-29 05:26:14,no_earmuff
2025-03-29 05:26:16,no_earmuff
2025-03-29 05:26:17,no_earmuff
2025-03-29 05:26:19,no_earmuff
2025-03-29 05:26:21,no_earmuff
2025-03-29 05:26:22,no_earmuff
2025-03-29 05:26:24,no_earmuff
2025-03-29 05:26:26,no_earmuff
2025-03-29 06:24:52,no_earmuff
2025-03-29 06:24:59,no_earmuff
2025-03-29 06:25:06,no_earmuff
2025-03-29 06:25:08,no_earmuff
2025-03-29 06:25:09,no_earmuff
2025-03-29 06:25:11,no_earmuff
2025-03-29 06:25:12,no_earmuff
2025-03-29 06:25:14,no_earmuff
2025-03-29 06:25:16,no_earmuff
2025-03-29 06:25:18,no_earmuff
2025-03-29 06:25:19,no_earmuff
2025-03-29 06:25:21,no_earmuff
2025-03-29 06:25:23,no_earmuff
2025-03-29 06:32:43,no_earmuff
2025-03-29 06:33:59,no_earmuff
2025-03-29 06:34:08,no_earmuff
2025-03-29 06:34:10,no_earmuff
2025-03-29 06:34:11,no_earmuff
2025-03-29 06:34:15,no_earmuff
2025-03-29 06:34:19,no_earmuff
2025-03-29 06:34:22,no_earmuff
2025-03-29 06:34:23,no_earmuff
2025-03-29 06:34:27,no_earmuff
2025-03-29 06:34:28,no_earmuff
2025-03-29 06:34:30,no_earmuff
2025-03-29 06:34:32,no_earmuff
2025-03-29 06:34:33,no_earmuff
2025-03-29 06:34:35,no_earmuff
2025-03-29 06:34:40,no_earmuff
2025-03-29 06:34:51,no_earmuff
2025-03-29 06:42:15,no_mask
